2026-01-25 02:08:57.850 | ERROR    | wallcat.main:classify:129 - Falha em 278150_Papel-de-Parede-Knights-of-Amalur-Reckoning_1440x900.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:08:57.962 | ERROR    | wallcat.main:classify:129 - Falha em 3670374-200143-1280.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:08:58.062 | ERROR    | wallcat.main:classify:129 - Falha em 3670374-200147-1280.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:08:58.150 | ERROR    | wallcat.main:classify:129 - Falha em 3670374-200148-1280.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:08:58.253 | ERROR    | wallcat.main:classify:129 - Falha em 3670374-200152-1280.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:08:58.342 | ERROR    | wallcat.main:classify:129 - Falha em 46821_Papel-de-Parede-Agua-em-Movimento-3D_1440x900.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:08:58.432 | ERROR    | wallcat.main:classify:129 - Falha em 532661-istock-825167430.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:08:58.516 | ERROR    | wallcat.main:classify:129 - Falha em 57832_Papel-de-Parede-Sim-City-4--57832_1024x768.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:08:58.603 | ERROR    | wallcat.main:classify:129 - Falha em 652686_20120302_screen002.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:08:58.722 | ERROR    | wallcat.main:classify:129 - Falha em 652686_20120302_screen003.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:08:58.829 | ERROR    | wallcat.main:classify:129 - Falha em 652686_20120302_screen004.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:08:59.038 | ERROR    | wallcat.main:classify:129 - Falha em 652686_20120302_screen008.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:08:59.152 | ERROR    | wallcat.main:classify:129 - Falha em 652686_20120302_screen010.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:08:59.245 | ERROR    | wallcat.main:classify:129 - Falha em 652686_20120302_screen013.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:08:59.337 | ERROR    | wallcat.main:classify:129 - Falha em 652686_20120302_screen018.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:08:59.429 | ERROR    | wallcat.main:classify:129 - Falha em 652686_20120302_screen020.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:08:59.528 | ERROR    | wallcat.main:classify:129 - Falha em 652686_20120302_screen028.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:08:59.703 | ERROR    | wallcat.main:classify:129 - Falha em 70973_Papel-de-Parede-Transformers-Autobots-Ironhide-e-Jazz_1920x1200.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:08:59.805 | ERROR    | wallcat.main:classify:129 - Falha em 72190_Papel-de-Parede-Homem-Aranha-3-Spiderman-3--72190_1280x1024.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:08:59.899 | ERROR    | wallcat.main:classify:129 - Falha em 73388_Papel-de-Parede-Transformers-Optimus-Prime--73388_1024x768.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:09:00.018 | ERROR    | wallcat.main:classify:129 - Falha em 8vcasy.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:09:00.305 | ERROR    | wallcat.main:classify:129 - Falha em BG_superbanner_homeGames_Gears3.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:09:00.412 | ERROR    | wallcat.main:classify:129 - Falha em brasil_quebrado.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:09:00.546 | ERROR    | wallcat.main:classify:129 - Falha em Brazil-Flag-Wallpapers-411.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:09:00.647 | ERROR    | wallcat.main:classify:129 - Falha em BXK139117_brasil-hexa800.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:09:00.774 | ERROR    | wallcat.main:classify:129 - Falha em coffee_cup_wooden_surface_106291_1920x1080.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:09:00.892 | ERROR    | wallcat.main:classify:129 - Falha em CT.png: attempt to get argmax of an empty sequence
2026-01-25 02:09:01.012 | ERROR    | wallcat.main:classify:129 - Falha em Desert-Wallpaper-Image-Picture.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:09:01.147 | ERROR    | wallcat.main:classify:129 - Falha em dTzega.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:09:01.325 | ERROR    | wallcat.main:classify:129 - Falha em escalpo2-1920x1080.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:09:02.631 | ERROR    | wallcat.main:classify:129 - Falha em fallout4.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:09:02.842 | ERROR    | wallcat.main:classify:129 - Falha em fallout_scene.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:09:02.962 | ERROR    | wallcat.main:classify:129 - Falha em fallout_survivor.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:09:03.059 | ERROR    | wallcat.main:classify:129 - Falha em GB-wp1.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:09:03.281 | ERROR    | wallcat.main:classify:129 - Falha em GB-wp5.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:09:03.399 | ERROR    | wallcat.main:classify:129 - Falha em gcWu6A.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:09:03.564 | ERROR    | wallcat.main:classify:129 - Falha em Green-Wallpaper-Background-Android.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:09:03.676 | ERROR    | wallcat.main:classify:129 - Falha em GTJMaD.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:09:03.839 | ERROR    | wallcat.main:classify:129 - Falha em IgniteLab#04-1920x1080.png: attempt to get argmax of an empty sequence
2026-01-25 02:09:04.033 | ERROR    | wallcat.main:classify:129 - Falha em img1.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:09:04.158 | ERROR    | wallcat.main:classify:129 - Falha em img2.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:09:04.271 | ERROR    | wallcat.main:classify:129 - Falha em img3.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:09:04.365 | ERROR    | wallcat.main:classify:129 - Falha em IMG_20151229_224622.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:09:04.456 | ERROR    | wallcat.main:classify:129 - Falha em img_normal.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:09:04.565 | ERROR    | wallcat.main:classify:129 - Falha em kCGlrT.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:09:04.647 | ERROR    | wallcat.main:classify:129 - Falha em last-17mai2012-2.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:09:04.754 | ERROR    | wallcat.main:classify:129 - Falha em Map-Wallpaper-Black-Art.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:09:04.834 | ERROR    | wallcat.main:classify:129 - Falha em med_gallery_118_24967.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:09:04.971 | ERROR    | wallcat.main:classify:129 - Falha em NLW IA- 1920x1080.png: attempt to get argmax of an empty sequence
2026-01-25 02:09:05.087 | ERROR    | wallcat.main:classify:129 - Falha em oeGmdD.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:09:05.260 | ERROR    | wallcat.main:classify:129 - Falha em oIpwxeeSPy1cnwYpqJ1w_Dufer Collateral test.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:09:05.608 | ERROR    | wallcat.main:classify:129 - Falha em pexels-sohail-na-807598 (1).jpg: attempt to get argmax of an empty sequence
2026-01-25 02:09:05.716 | ERROR    | wallcat.main:classify:129 - Falha em photo-1452421822248-d4c2b47f0c81.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:09:05.860 | ERROR    | wallcat.main:classify:129 - Falha em Poster-Craques-SELECAO-BRASILEIRA-todos-os-tempos.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:09:05.969 | ERROR    | wallcat.main:classify:129 - Falha em Power-Logo-HD-Wallpaper-Blue-Desktop-For-Windows.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:09:06.097 | ERROR    | wallcat.main:classify:129 - Falha em q1EWxp.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:09:06.207 | ERROR    | wallcat.main:classify:129 - Falha em road_marking_cloudy_124093_1920x1080.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:09:06.312 | ERROR    | wallcat.main:classify:129 - Falha em sea_horizon_dark_128627_1920x1080.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:09:06.413 | ERROR    | wallcat.main:classify:129 - Falha em Shoes-Black-Wallpaper-Image-Picture.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:09:06.582 | ERROR    | wallcat.main:classify:129 - Falha em soccer-field-Wallpaper-HD-number-n2G.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:09:06.699 | ERROR    | wallcat.main:classify:129 - Falha em Space.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:09:06.811 | ERROR    | wallcat.main:classify:129 - Falha em SPBMX.png: attempt to get argmax of an empty sequence
2026-01-25 02:09:06.954 | ERROR    | wallcat.main:classify:129 - Falha em SQn6zv.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:09:07.053 | ERROR    | wallcat.main:classify:129 - Falha em the-last-of-us-part-ii-reveal-screen-02-ps4-us-10jul18.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:09:07.164 | ERROR    | wallcat.main:classify:129 - Falha em the-last-of-us-part-ii-reveal-screen-03-ps4-us-10jul18.jfif: attempt to get argmax of an empty sequence
2026-01-25 02:09:07.266 | ERROR    | wallcat.main:classify:129 - Falha em the-last-of-us-part-ii-reveal-screen-03-ps4-us-10jul18.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:09:07.375 | ERROR    | wallcat.main:classify:129 - Falha em tumblr_l21a9h5Bhh1qbkusho1_1280.png: attempt to get argmax of an empty sequence
2026-01-25 02:09:07.475 | ERROR    | wallcat.main:classify:129 - Falha em tumblr_l22khnPK7v1qbkusho1_1280.png: attempt to get argmax of an empty sequence
2026-01-25 02:09:07.587 | ERROR    | wallcat.main:classify:129 - Falha em US-wp4.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:09:07.722 | ERROR    | wallcat.main:classify:129 - Falha em US-wp5.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:09:07.851 | ERROR    | wallcat.main:classify:129 - Falha em v0Uk6O.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:09:07.939 | ERROR    | wallcat.main:classify:129 - Falha em violao.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:09:08.037 | ERROR    | wallcat.main:classify:129 - Falha em vladstudio_worldinversed_1280x1024.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:09:08.161 | ERROR    | wallcat.main:classify:129 - Falha em Wallpaper - 1920x1080.png: attempt to get argmax of an empty sequence
2026-01-25 02:09:08.256 | ERROR    | wallcat.main:classify:129 - Falha em wallpaper-1059033.jpg: attempt to get argmax of an empty sequence
